filepath,filesize,formatted_filesize,manuscript,high_resolution,filename
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__020.JPG,10161372,10.2 MB,netratantra,TRUE,DOC__020.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__021.JPG,10187554,10.2 MB,netratantra,TRUE,DOC__021.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__022.JPG,10104783,10.1 MB,netratantra,TRUE,DOC__022.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__023.JPG,10314231,10.3 MB,netratantra,TRUE,DOC__023.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__024.JPG,10482627,10.5 MB,netratantra,TRUE,DOC__024.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__025.JPG,10235598,10.2 MB,netratantra,TRUE,DOC__025.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__026.JPG,10286208,10.3 MB,netratantra,TRUE,DOC__026.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__027.JPG,10297280,10.3 MB,netratantra,TRUE,DOC__027.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__028.JPG,10196214,10.2 MB,netratantra,TRUE,DOC__028.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__029.JPG,10213332,10.2 MB,netratantra,TRUE,DOC__029.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__030.JPG,10232745,10.2 MB,netratantra,TRUE,DOC__030.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__031.JPG,10248731,10.2 MB,netratantra,TRUE,DOC__031.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__032.JPG,10137173,10.1 MB,netratantra,TRUE,DOC__032.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__033.JPG,10241944,10.2 MB,netratantra,TRUE,DOC__033.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__034.JPG,10119956,10.1 MB,netratantra,TRUE,DOC__034.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__035.JPG,10114694,10.1 MB,netratantra,TRUE,DOC__035.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__036.JPG,9918359,9.9 MB,netratantra,TRUE,DOC__036.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__037.JPG,10143072,10.1 MB,netratantra,TRUE,DOC__037.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__038.JPG,10216202,10.2 MB,netratantra,TRUE,DOC__038.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__039.JPG,10298471,10.3 MB,netratantra,TRUE,DOC__039.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__040.JPG,10019579,10 MB,netratantra,TRUE,DOC__040.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__041.JPG,9992961,10 MB,netratantra,TRUE,DOC__041.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__042.JPG,9983894,10 MB,netratantra,TRUE,DOC__042.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__043.JPG,10173187,10.2 MB,netratantra,TRUE,DOC__043.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__044.JPG,10157770,10.2 MB,netratantra,TRUE,DOC__044.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__045.JPG,9863709,9.9 MB,netratantra,TRUE,DOC__045.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__046.JPG,10008774,10 MB,netratantra,TRUE,DOC__046.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__047.JPG,10170271,10.2 MB,netratantra,TRUE,DOC__047.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__048.JPG,10165690,10.2 MB,netratantra,TRUE,DOC__048.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__049.JPG,10151579,10.2 MB,netratantra,TRUE,DOC__049.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__050.JPG,10333113,10.3 MB,netratantra,TRUE,DOC__050.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__051.JPG,10432057,10.4 MB,netratantra,TRUE,DOC__051.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__052.JPG,10198700,10.2 MB,netratantra,TRUE,DOC__052.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__053.JPG,10062983,10.1 MB,netratantra,TRUE,DOC__053.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__054.JPG,10248167,10.2 MB,netratantra,TRUE,DOC__054.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__055.JPG,10276483,10.3 MB,netratantra,TRUE,DOC__055.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__056.JPG,10248807,10.2 MB,netratantra,TRUE,DOC__056.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__057.JPG,10356257,10.4 MB,netratantra,TRUE,DOC__057.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__058.JPG,10237265,10.2 MB,netratantra,TRUE,DOC__058.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__059.JPG,9928596,9.9 MB,netratantra,TRUE,DOC__059.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__060.JPG,10128593,10.1 MB,netratantra,TRUE,DOC__060.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__061.JPG,10284724,10.3 MB,netratantra,TRUE,DOC__061.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__062.JPG,10258875,10.3 MB,netratantra,TRUE,DOC__062.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__063.JPG,10246725,10.2 MB,netratantra,TRUE,DOC__063.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__064.JPG,10248740,10.2 MB,netratantra,TRUE,DOC__064.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__065.JPG,10343442,10.3 MB,netratantra,TRUE,DOC__065.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__066.JPG,10163692,10.2 MB,netratantra,TRUE,DOC__066.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__067.JPG,10241904,10.2 MB,netratantra,TRUE,DOC__067.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__068.JPG,10338177,10.3 MB,netratantra,TRUE,DOC__068.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__069.JPG,10344980,10.3 MB,netratantra,TRUE,DOC__069.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__070.JPG,10293509,10.3 MB,netratantra,TRUE,DOC__070.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__071.JPG,10303860,10.3 MB,netratantra,TRUE,DOC__071.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__072.JPG,10521374,10.5 MB,netratantra,TRUE,DOC__072.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__073.JPG,10509386,10.5 MB,netratantra,TRUE,DOC__073.JPG
